,Comments,Scraped Comments,Reads,Votes,Chapter Name,Chapter,Part,Username,Date,Original,Text,Negative,Neutral,Positive,Compound
87,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,-nixgotsarcasm,2019-09-16,"perfect!
",perfect! ,0.0,0.0,1.0,0.6114
88,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,-nixgotsarcasm,2019-09-16,"thank you for writing it  love you more
",thank you for writing it  love you more ,0.0,0.472,0.528,0.7717
89,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,venusexual,2019-08-29,"i love u too  already 🥺
",i love u too  already  pleading face  ,0.0,0.488,0.512,0.6369
90,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,venusexual,2019-08-29,"i’ve always been in love w their story  as well  and just the thought that i finally found ur book makes my heart skip beats <3
",i've always been in love w their story  as well  and just the thought that i finally found ur book makes my heart skip beats <3 ,0.0,0.695,0.305,0.8481
91,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,lunarwxtch,2019-08-18,"Sweet home Alabama
",sweet home alabama ,0.0,0.4,0.6,0.4588
92,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,Alyeska3371,2019-08-18,"DO WHEAT NOT WEED
",do wheat not weed ,0.0,1.0,0.0,0.0
93,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,GreyEyedGirl02,2019-08-16,"basically gonna listen to hadestown ig
",basically gonna listen to hadestown ig ,0.0,1.0,0.0,0.0
94,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,authormahimistry,2019-08-14,"LANA
",lana ,0.0,1.0,0.0,0.0
95,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,authormahimistry,2019-08-14,"PJO fandom hates her sm 😂
",pjo fandom hates her sm  face with tears of joy  ,0.308,0.449,0.244,0.0
96,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,authormahimistry,2019-08-14,"SEAN O'PRY
",sean o'pry ,0.0,1.0,0.0,0.0
97,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,authormahimistry,2019-08-14,"Love you more
",love you more ,0.0,0.323,0.677,0.6369
98,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,authormahimistry,2019-08-14,"Yes! ❤️
",yes!  red heart selector  ,0.0,0.501,0.499,0.4574
99,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,authormahimistry,2019-08-14,"I want to cry at the whole aesthetic. I am so excited for the book!
",i want to cry at the whole aesthetic. i am so excited for the book! ,0.174,0.562,0.264,0.1551
100,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,authormahimistry,2019-08-14,"QUEEEENN
",queeeenn ,0.0,1.0,0.0,0.0
101,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,authormahimistry,2019-08-14,"He definitely is!
",he definitely is! ,0.0,0.401,0.599,0.4574
102,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,authormahimistry,2019-08-14,"YESSSSS! 😍
",yesssss!  smiling face with heart-eyes  ,0.0,0.549,0.451,0.5093
103,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,brittae_13,2019-08-11,"I've been reading Lore Olympus on Webtoon and the idea of these 2 lovers had me starting this book
",i've been reading lore olympus on webtoon and the idea of these 2 lovers had me starting this book ,0.0,0.833,0.167,0.5267
104,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,brittae_13,2019-08-11,"NEW BOOK LETS GO
",new book lets go ,0.0,1.0,0.0,0.0
105,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,Raghavi2104,2019-08-05,"I have no idea how you come up with these things my lord!!!
",i have no idea how you come up with these things my lord!!! ,0.219,0.781,0.0,-0.4724
